index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-01-02,24652.0,12.82,8.3136,0.0170144616324,89.1,10360.6893565,ARCA,
1,AABA US,2019-01-02,5182133.0,57.94,29.9584,0.884220758984,35083.14,973.217446,NASDAQ,
2,AAC US,2019-01-02,249856.0,1.4,99.4624,0.345274549182,34.44,776.190379,NYSE,Healthcare-Services
3,AADR US,2019-01-02,64747.0,40.07,23.008,0.247484203472,98.17,721.19612,ARCA,
4,AAL US,2019-01-02,7248295.0,32.11,43.3472,1.30977661505,14789.27,423.706742,NASDAQ,Airlines
5,AAMC US,2019-01-02,2008.0,29.69,135.8336,0.0968504986267,48.48,153.648393,AMEX,Diversified Finan Serv
6,AAME US,2019-01-02,1918.0,2.42,103.1104,0.0598206648824,48.88,550.0000005,NASDAQ,Insurance
7,AAN US,2019-01-02,410932.0,42.05,42.8352,1.11737280862,2884.41,162.8314585,NYSE,Commercial Services
8,AAOI US,2019-01-02,801484.0,15.43,72.0,1.37804493349,305.49,266.321567,NASDAQ,Electronics
9,AAON US,2019-01-02,120441.0,35.06,41.5808,1.02497573134,1826.43,157.7403345,NASDAQ,Building Materials
10,AAPL US,2019-01-02,40885561.0,157.74,31.1936,1.14374339453,748539.08,359.4350015,NASDAQ,Computers
11,AAP US,2019-01-02,890472.0,157.46,31.3216,0.834609948596,11477.84,143.5768245,NYSE,Retail
12,AAT US,2019-01-02,179596.0,40.17,25.504,0.540289610329,1896.91,153.751952,NYSE,REITS
13,AA US,2019-01-02,2700013.0,26.58,49.952,1.37130657891,4957.01,312.782844,NYSE,Mining
14,AAU US,2019-01-02,205974.0,0.67,79.6992,0.0199214517076,74.8,1775.1173735,AMEX,Mining
15,AAWW US,2019-01-02,358907.0,42.19,49.1968,1.0894937027,1079.65,161.4134355,NASDAQ,Transportation
16,AAXJ US,2019-01-02,1297549.0,63.53,16.2496,0.63815140648,4167.57,963.9196845,NASDAQ,
17,AAXN US,2019-01-02,661951.0,43.75,46.6048,0.901562278707,2572.97,201.9020005,NASDAQ,Miscellaneous Manufactur
18,ABAC US,2019-01-02,6244.0,0.93,90.2784,0.176850925489,9.33,1270.5542875,NASDAQ,Agriculture
19,ABB US,2019-01-02,2980261.0,19.01,19.4496,0.690574220845,41216.5,3937.476992,NYSE,Machinery-Constr&Mining
20,ABBV US,2019-01-02,5283091.0,92.19,35.8912,0.998452620748,138673.7,208.0277575,NYSE,Pharmaceuticals
21,ABCB US,2019-01-02,518856.0,31.67,41.4336,1.03557299031,1504.41,169.639959,NASDAQ,Banks
22,ABC US,2019-01-02,1092362.0,74.4,35.1744,1.02476940397,15767.85,165.621793,NYSE,Pharmaceuticals
23,ABDC US,2019-01-02,48185.0,6.47,41.824,0.104982947185,87.46,820.1828745,NASDAQ,Investment Companies
24,ABEO US,2019-01-02,637867.0,7.14,85.9392,1.40718857768,342.32,347.8511135,NASDAQ,Biotechnology
25,ABEV US,2019-01-02,15257187.0,3.92,30.2528,0.677528927554,61630.82,94912.7783335,NYSE,Beverages
26,ABG US,2019-01-02,143152.0,66.66,40.6528,0.922719021979,1306.64,120.974544,NYSE,Retail
27,ABIL US,2019-01-02,179519.0,1.9,110.784,0.561681689682,12.13,1084.0185345,NASDAQ,Computers
28,ABIO US,2019-01-02,199710.0,0.3335,129.5808,-0.128238513156,4.64,2912.75587,NASDAQ,Biotechnology
29,ABMD US,2019-01-02,506516.0,325.04,52.4864,1.50710284511,14639.65,136.286387,NASDAQ,Healthcare-Products
